airport_a_iata,airport_a_city,airport_a_lat,airport_a_lon,airport_b_iata,airport_b_city,airport_b_lat,airport_b_lon,airline_record_count
ATL,Atlanta,33.6367,-84.428101,AUS,Austin,30.194499969482422,-97.6698989868164,14
ATL,Atlanta,33.6367,-84.428101,BDL,Windsor Locks,41.9388999939,-72.68319702149999,14
ATL,Atlanta,33.6367,-84.428101,BWI,Baltimore,39.1754,-76.668297,14
ATL,Atlanta,33.6367,-84.428101,DCA,Washington,38.8521,-77.037697,14
ATL,Atlanta,33.6367,-84.428101,EWR,Newark,40.692501068115234,-74.168701171875,14
ATL,Atlanta,33.6367,-84.428101,LAS,Las Vegas,36.08010101,-115.1520004,14
ATL,Atlanta,33.6367,-84.428101,MEM,Memphis,35.04240036010742,-89.97669982910156,14
ATL,Atlanta,33.6367,-84.428101,ORF,Norfolk,36.89459991455078,-76.20120239257812,14
ATL,Atlanta,33.6367,-84.428101,PIT,Pittsburgh,40.49150085,-80.23290253,14
ATL,Atlanta,33.6367,-84.428101,RIC,Richmond,37.50519943237305,-77.3197021484375,14
ATL,Atlanta,33.6367,-84.428101,SAT,San Antonio,29.533700942993164,-98.46980285644531,14
ICN,Seoul,37.46910095214844,126.45099639892578,SFO,San Francisco,37.61899948120117,-122.375,14
EZE,Buenos Aires,-34.8222,-58.5358,GRU,Sao Paulo,-23.435556411743164,-46.47305679321289,14
FCO,Rome,41.8002778,12.2388889,PRG,Prague,50.1008,14.26,14
LCA,Larnaca,34.875099182128906,33.624900817871094,LGW,London,51.148102,-0.190278,14
CSX,Changcha,28.189199447599997,113.220001221,XIY,Xi'an,34.447102,108.751999,14
TSN,Tianjin,39.124401092499994,117.346000671,XIY,Xi'an,34.447102,108.751999,14
ICN,Seoul,37.46910095214844,126.45099639892578,TPE,Taipei,25.0777,121.233002,14
CGO,Zhengzhou,34.519699096699995,113.841003418,KWE,Guiyang,26.53849983215332,106.8010025024414,14
HFE,Hefei,31.780000686645508,117.2979965209961,XMN,Xiamen,24.54400062561035,118.12799835205078,14
HGH,Hangzhou,30.22949981689453,120.43399810791016,HKG,Hong Kong,22.308901,113.915001,14
HGH,Hangzhou,30.22949981689453,120.43399810791016,XIY,Xi'an,34.447102,108.751999,14
PEK,Beijing,40.080101013183594,116.58499908447266,SHA,Shanghai,31.197900772094727,121.33599853515625,14
SHA,Shanghai,31.197900772094727,121.33599853515625,TSN,Tianjin,39.124401092499994,117.346000671,14
TAO,Qingdao,36.2661018372,120.374000549,XIY,Xi'an,34.447102,108.751999,14
ACE,Arrecife,28.945499,-13.6052,MAN,Manchester,53.35369873046875,-2.2749500274658203,14
HBE,Alexandria,30.917699813842773,29.696399688720703,JED,Jeddah,21.6796,39.156502,14
MEL,Melbourne,-37.673302,144.843002,SIN,Singapore,1.35019,103.994003,14
CGK,Jakarta,-6.1255698204,106.65599823,DPS,Denpasar,-8.7481698989868,115.16699981689,14
GYE,Guayaquil,-2.1574199199699997,-79.88359832760001,UIO,Quito,-0.129166666667,-78.3575,13
FNA,Freetown,8.61644,-13.1955,ROB,Monrovia,6.23379,-10.3623,13
KMG,Kunming,25.1019444,102.9291667,LJG,Lijiang,26.6800003052,100.246002197,13
KMG,Kunming,25.1019444,102.9291667,PVG,Shanghai,31.143400192260742,121.80500030517578,13
DFW,Dallas-Fort Worth,32.896801,-97.038002,LHR,London,51.4706,-0.461941,13
JFK,New York,40.63980103,-73.77890015,YYZ,Toronto,43.6772003174,-79.63059997559999,13
LAX,Los Angeles,33.94250107,-118.4079971,ORD,Chicago,41.9786,-87.9048,13
LAX,Los Angeles,33.94250107,-118.4079971,PVG,Shanghai,31.143400192260742,121.80500030517578,13
LAX,Los Angeles,33.94250107,-118.4079971,SMF,Sacramento,38.69540023803711,-121.59100341796875,13
LHR,London,51.4706,-0.461941,LIS,Lisbon,38.7813,-9.13592,13
LHR,London,51.4706,-0.461941,YYZ,Toronto,43.6772003174,-79.63059997559999,13
YUL,Montreal,45.4706001282,-73.7407989502,YYZ,Toronto,43.6772003174,-79.63059997559999,13
ATL,Atlanta,33.6367,-84.428101,BNA,Nashville,36.1245002746582,-86.6781997680664,13
ATL,Atlanta,33.6367,-84.428101,CHS,Charleston,32.89860153,-80.04049683,13
ATL,Atlanta,33.6367,-84.428101,MKE,Milwaukee,42.947200775146484,-87.89659881591797,13
ATL,Atlanta,33.6367,-84.428101,OKC,Oklahoma City,35.39310073852539,-97.60070037841797,13
BJM,Bujumbura,-3.3240199089050293,29.318500518798828,KGL,Kigali,-1.96863,30.1395,13
LAX,Los Angeles,33.94250107,-118.4079971,MSP,Minneapolis,44.882,-93.221802,13
DLA,Douala,4.0060801506,9.719479560849999,NSI,Yaounde,3.722559928894043,11.553299903869629,13
KWL,Guilin,25.21809959411621,110.03900146484375,XIY,Xi'an,34.447102,108.751999,13
MAN,Manchester,53.35369873046875,-2.2749500274658203,PFO,Paphos,34.71799850463867,32.48569869995117,13
KLO,Kalibo,11.679400444,122.375999451,MNL,Manila,14.5086,121.019997,12
HKT,Phuket,8.1132,98.316902,SIN,Singapore,1.35019,103.994003,12
PEN,Penang,5.297140121459961,100.2770004272461,SIN,Singapore,1.35019,103.994003,12
