rank,country,life_evaluation,score_ci_low,score_ci_high
88,Tajikistan,5.280700206756592,5.200791835784912,5.3606085777282715
89,Congo (Brazzaville),5.221499919891357,5.047065734863281,5.395934104919434
90,Mozambique,5.216400146484375,5.026981830596924,5.405818462371826
91,Georgia,5.184700012207031,5.086538314819336,5.282861709594727
92,Iraq,5.165999889373779,5.049144268035889,5.28285551071167
93,Nepal,5.158400058746338,5.026580333709717,5.290219783782959
94,Laos,5.138899803161621,5.017078399658203,5.260721206665039
95,Gabon,5.106299877166748,4.969369888305664,5.243229866027832
96,Ivory Coast,5.080100059509277,4.936394214630127,5.223805904388428
97,Guinea,5.0233001708984375,4.881042957305908,5.165557384490967
98,Turkiye,4.975299835205078,4.86577844619751,5.0848212242126465
99,Senegal,4.968599796295166,4.841153621673584,5.096045970916748
100,Iran,4.922800064086914,4.821583271026611,5.024016857147217
101,Azerbaijan,4.893400192260742,4.768433094024658,5.018367290496826
102,Nigeria,4.880799770355225,4.743757247924805,5.0178422927856445
103,State of Palestine,4.879499912261963,4.753063201904297,5.005936622619629
104,Cameroon,4.8744001388549805,4.75285005569458,4.995950222015381
105,Ukraine,4.873000144958496,4.757669448852539,4.988330841064453
106,Namibia,4.831699848175049,4.705486297607422,4.957913398742676
107,Morocco,4.7947001457214355,4.676977634429932,4.9124226570129395
108,Pakistan,4.656700134277344,4.534683704376221,4.778716564178467
109,Niger,4.556300163269043,4.400649547576904,4.711950778961182
110,Burkina Faso,4.547999858856201,4.409770488739014,4.686229228973389
111,Mauritania,4.505099773406982,4.337266445159912,4.672933101654053
112,Gambia,4.484899997711182,4.3444037437438965,4.625396251678467
113,Chad,4.47130012512207,4.312553405761719,4.630046844482422
114,Kenya,4.469600200653076,4.343931198120117,4.595269203186035
115,Tunisia,4.421800136566162,4.338291168212891,4.505309104919434
116,Benin,4.377399921417236,4.2450103759765625,4.50978946685791
117,Uganda,4.371699810028076,4.242800712585449,4.500598907470703
118,Myanmar,4.354499816894531,4.207881450653076,4.501118183135986
119,Cambodia,4.340700149536133,4.235530853271484,4.445869445800781
120,Ghana,4.289400100708008,4.182406902313232,4.396393299102783
121,Liberia,4.268599987030029,4.062933444976807,4.474266529083252
122,Mali,4.23199987411499,4.116600036621094,4.347399711608887
123,Madagascar,4.22790002822876,4.0971999168396,4.35860013961792
124,Togo,4.214099884033203,4.097928047180176,4.3302717208862305
125,Jordan,4.185800075531006,4.065728187561035,4.305871963500977
126,India,4.054100036621094,3.9852349758148193,4.122965335845947
127,Egypt,3.976599931716919,3.887077808380127,4.066122055053711
128,Sri Lanka,3.898099899291992,3.778479814529419,4.017719745635986
129,Bangladesh,3.8859000205993652,3.777738332748413,3.9940617084503174
130,Ethiopia,3.8608999252319336,3.725219964981079,3.996579885482788
131,Tanzania,3.780600070953369,3.64383602142334,3.9173641204833984
132,Comoros,3.5662999153137207,3.378268241882324,3.754331588745117
133,Yemen,3.561000108718872,3.40799880027771,3.714001417160034
134,Zambia,3.5023999214172363,3.368476152420044,3.6363236904144287
135,Eswatini,3.502000093460083,3.3307416439056396,3.6732585430145264
136,Malawi,3.4210000038146973,3.281141519546509,3.5608584880828857
137,Botswana,3.3833999633789062,3.209228515625,3.5575714111328125
138,Zimbabwe,3.341099977493286,3.225626230239868,3.456573724746704
139,Congo (Kinshasa),3.2953999042510986,3.128471851348877,3.4623279571533203
140,Sierra Leone,3.2451999187469482,3.124147891998291,3.3662519454956055
141,Lesotho,3.186199903488159,2.9036149978637695,3.468784809112549
142,Lebanon,2.7065000534057617,2.6162564754486084,2.796743631362915
143,Afghanistan,1.7209999561309814,1.6667284965515137,1.7752714157104492
