year,anomaly_c,lowess_c,uncertainty_95_c,uncertainty_low_c,uncertainty_high_c
1936,-0.15,-0.11,0.11255605019913,-0.26255605019913,-0.03744394980087
1937,-0.03,-0.06,0.107287094114988,-0.13728709411498802,0.077287094114988
1938,0.0,-0.02,0.114211680740543,-0.114211680740543,0.114211680740543
1939,-0.02,0.03,0.107266447624642,-0.127266447624642,0.087266447624642
1940,0.12,0.06,0.106837676118712,0.01316232388128799,0.226837676118712
1941,0.18,0.09,0.115460101574841,0.06453989842515899,0.295460101574841
1942,0.06,0.1,0.105704823288113,-0.045704823288113,0.16570482328811298
1943,0.09,0.1,0.107068356124218,-0.017068356124218004,0.197068356124218
1944,0.2,0.07,0.10294103974431,0.09705896025569001,0.30294103974431
1945,0.09,0.04,0.101956662044011,-0.01195666204401101,0.19195666204401102
1946,-0.07,0.0,0.0851753595151189,-0.1551753595151189,0.015175359515118891
1947,-0.03,-0.04,0.0790880454902535,-0.1090880454902535,0.0490880454902535
1948,-0.11,-0.07,0.0797810942727423,-0.1897810942727423,-0.030218905727257703
1949,-0.11,-0.08,0.0765795705437092,-0.18657957054370922,-0.0334204294562908
1950,-0.17,-0.08,0.0655370626493507,-0.2355370626493507,-0.10446293735064931
1951,-0.07,-0.07,0.0653777919699604,-0.13537779196996041,-0.004622208030039612
1952,0.01,-0.07,0.0677085781470798,-0.057708578147079796,0.0777085781470798
1953,0.08,-0.07,0.0659342906507199,0.0140657093492801,0.1459342906507199
1954,-0.13,-0.07,0.0649884754874111,-0.1949884754874111,-0.0650115245125889
1955,-0.14,-0.06,0.0702853532484253,-0.21028535324842532,-0.06971464675157471
1956,-0.19,-0.05,0.0730200367449764,-0.2630200367449764,-0.1169799632550236
1957,0.05,-0.04,0.0687617924533613,-0.018761792453361292,0.1187617924533613
1958,0.06,-0.01,0.0659198411968591,-0.0059198411968591075,0.12591984119685912
1959,0.03,0.02,0.0645453970602274,-0.0345453970602274,0.0945453970602274
1960,-0.02,0.03,0.0655402829770386,-0.0855402829770386,0.04554028297703859
1961,0.06,0.01,0.0654737967408458,-0.005473796740845804,0.1254737967408458
1962,0.03,-0.01,0.0670080643689139,-0.03700806436891391,0.0970080643689139
1963,0.05,-0.03,0.063094146248484,-0.013094146248483998,0.113094146248484
1964,-0.2,-0.04,0.0595717737231323,-0.25957177372313234,-0.1404282262768677
1965,-0.11,-0.05,0.0603004218059818,-0.17030042180598182,-0.0496995781940182
1966,-0.06,-0.06,0.062573536460776,-0.122573536460776,0.002573536460776002
1967,-0.02,-0.05,0.0645529427267789,-0.0845529427267789,0.0445529427267789
1968,-0.08,-0.03,0.0625648671878305,-0.1425648671878305,-0.017435132812169504
1969,0.05,-0.02,0.0751683270346732,-0.0251683270346732,0.1251683270346732
1970,0.03,-0.0,0.0586197156199731,-0.028619715619973105,0.0886197156199731
1971,-0.08,0.0,0.0592985920337944,-0.1392985920337944,-0.0207014079662056
1972,0.01,0.0,0.0623163256207596,-0.0523163256207596,0.0723163256207596
1973,0.16,-0.0,0.0547440568215058,0.10525594317849421,0.2147440568215058
1974,-0.07,0.01,0.050536581189673,-0.120536581189673,-0.01946341881032701
1975,-0.01,0.02,0.0547423640524712,-0.0647423640524712,0.0447423640524712
1976,-0.1,0.04,0.0512212762016978,-0.1512212762016978,-0.048778723798302205
1977,0.18,0.07,0.0506383942214116,0.1293616057785884,0.23063839422141158
1978,0.07,0.12,0.0486210612503316,0.021378938749668404,0.11862106125033162
1979,0.16,0.16,0.0514958025420433,0.1085041974579567,0.2114958025420433
1980,0.26,0.2,0.0457043995459233,0.2142956004540767,0.3057043995459233
1981,0.32,0.21,0.0612165647789211,0.2587834352210789,0.38121656477892113
1982,0.14,0.21,0.0522366434061652,0.08776335659383482,0.1922366434061652
1983,0.31,0.21,0.0491817157276597,0.26081828427234033,0.35918171572765967
