HIP,Vmag,Plx,e_Plx,B-V
69322,7.88,17.36,0.72,0.652
69333,10.31,19.8,1.8,1.173
69340,6.42,21.78,0.85,0.479
69345,10.46,22.05,1.7,1.16
69347,8.98,12.99,1.18,0.6
69357,7.93,43.35,1.4,0.865
69359,10.59,19.54,2.1,1.086
69374,8.97,10.88,1.29,0.474
69389,4.99,12.45,0.9,-0.118
69390,8.47,10.46,1.27,0.651
69400,8.52,25.89,1.04,0.84
69403,7.15,15.27,0.96,0.333
69406,8.25,10.08,0.88,0.445
69410,8.88,30.62,1.16,0.96
69411,8.56,11.81,1.01,0.542
69413,7.51,10.75,0.84,0.533
69414,7.05,44.89,1.01,0.733
69415,5.07,14.22,0.98,1.13
69427,4.18,14.59,0.95,1.323
69431,8.82,10.11,1.27,0.486
69437,8.23,13.89,1.01,0.511
69441,7.89,11.6,1.1,0.529
69442,8.33,26.43,1.75,0.946
69443,8.59,13.69,1.09,0.546
69446,10.97,15.14,1.57,1.595
69454,10.2,85.02,1.79,1.5
69457,8.91,17.32,0.93,0.659
69483,4.53,21.03,0.83,0.233
69485,10.15,51.06,1.74,1.418
69488,9.15,23.89,1.13,0.958
69493,5.89,17.94,0.81,0.489
69508,7.28,13.69,0.96,0.372
69514,10.1,17.21,1.63,1.03
69518,7.17,26.22,0.71,0.53
69524,8.11,12.86,1.24,0.515
69526,8.03,57.78,1.05,1.064
69528,8.09,20.78,1.23,0.561
69536,5.53,30.06,0.74,0.537
69535,7.63,16.08,0.7,0.502
69549,7.97,11.36,0.92,0.603
69555,8.71,14.82,1.77,0.65
69558,8.52,10.79,1.28,0.464
69564,6.36,24.09,1.07,0.593
69566,8.56,10.31,1.11,0.512
69569,6.23,22.4,0.63,1.071
69570,8.23,27.62,1.12,0.67
69592,6.38,16.95,0.75,0.194
69595,8.57,28.11,1.13,0.837
69596,7.73,14.01,1.14,0.519
69601,10.0,17.52,1.0,0.96
69612,5.29,12.79,0.87,1.007
69643,7.59,17.95,1.07,0.564
69645,9.41,11.0,1.56,0.665
69646,7.53,11.88,0.92,0.378
69650,6.56,10.83,0.63,0.096
69653,7.03,23.46,1.93,0.57
69658,5.53,12.49,0.85,0.001
69660,8.76,13.01,1.31,0.61
69668,10.07,14.97,1.79,0.856
69671,6.31,47.51,0.78,0.596
69673,-0.05,88.85,0.74,1.239
69676,8.88,10.1,0.77,0.677
69682,8.89,16.3,1.36,0.675
69684,9.75,18.61,2.74,0.84
69694,8.81,11.29,1.16,0.494
69699,6.68,21.01,0.66,0.58
69701,4.07,46.74,0.87,0.511
69709,7.78,22.15,0.77,0.615
69713,4.75,33.54,0.56,0.236
69715,7.62,16.97,0.87,0.46
69721,8.54,10.04,0.75,0.435
69722,6.57,13.4,0.98,0.294
69724,8.94,14.12,1.35,0.735
69727,6.44,19.19,1.75,0.275
69732,4.18,33.58,0.61,0.087
69735,6.38,20.72,0.63,0.376
69738,8.07,16.13,0.7,0.594
69742,9.66,13.36,1.51,0.808
69743,8.36,12.87,1.06,0.465
69744,8.32,12.19,0.67,0.456
69751,6.25,30.99,0.83,0.504
69767,11.07,23.57,2.97,1.3
69775,6.88,11.07,0.96,0.341
69780,8.66,10.02,1.1,0.573
69781,8.67,15.36,1.12,0.65
69783,8.65,23.53,1.37,0.782
69785,9.05,10.18,1.26,0.486
69790,8.48,12.03,1.61,0.631
69793,7.0,18.35,0.59,0.745
69796,7.29,22.05,0.79,0.59
69804,8.56,10.3,1.31,0.5
69811,8.35,11.98,0.73,0.51
69815,8.78,11.82,1.13,0.56
69822,8.93,10.95,1.25,0.673
69824,10.19,53.64,1.33,1.391
69828,6.95,12.49,0.91,0.244
69838,7.26,17.85,1.12,0.486
69855,7.53,14.28,0.61,0.395
69862,6.32,14.1,0.59,0.466
69867,7.54,13.93,0.82,0.548
69872,8.65,14.66,1.09,0.705
69879,4.8,14.63,0.69,1.057
69881,6.47,30.47,1.0,0.723
69884,8.44,13.86,1.1,0.537
69886,8.2,13.0,1.02,0.766
69896,4.89,23.36,0.5,0.243
69901,8.93,22.72,2.39,0.92
69903,10.35,12.37,1.67,0.962
69904,6.54,10.2,0.96,0.284
69905,9.8,15.63,1.6,0.796
69913,10.36,19.59,1.72,0.98
69922,7.66,14.77,0.84,0.473
69923,7.21,12.07,0.99,0.318
69929,5.86,11.08,0.91,0.013
69939,8.35,14.2,1.15,0.48
69941,8.16,13.04,1.22,0.92
69946,8.77,14.04,1.05,0.609
69951,7.1,13.61,0.63,0.294
69962,9.1,46.46,1.73,1.29
69963,11.51,26.9,2.72,1.39
69965,5.87,56.23,0.94,0.518
69967,9.28,10.83,1.32,0.635
69971,8.73,11.44,1.43,0.559
69972,6.66,84.5,0.79,1.017
69974,4.52,17.47,0.94,0.128
69982,8.31,24.66,1.05,0.793
69989,5.41,38.33,0.81,0.385
69992,9.49,10.57,1.05,0.613
69995,5.93,14.6,0.83,0.082
69997,8.01,15.61,1.15,0.516
69999,10.36,23.61,1.71,1.08
70011,7.39,16.65,2.45,0.6
70012,5.14,11.9,0.95,1.023
70015,8.62,10.26,1.22,0.411
70016,7.58,48.12,1.11,0.867
70017,10.23,12.27,1.73,0.934
70022,6.18,14.29,0.78,0.201
70024,9.81,14.11,1.52,0.616
70025,8.17,19.22,1.32,0.619
70027,4.84,17.12,0.68,1.228
70033,8.12,10.97,0.98,0.448
70035,5.22,20.69,0.63,0.281
70038,6.42,10.82,0.81,0.915
70049,10.1,23.47,1.77,0.975
70051,6.45,11.52,0.7,0.156
70066,7.4,14.05,1.49,0.549
70088,9.07,13.95,0.87,0.642
70090,4.05,13.19,0.86,-0.03
70096,8.76,11.98,1.31,0.558
70098,9.51,22.45,1.64,0.873
70100,10.51,14.25,1.8,1.006
70102,8.3,11.8,1.59,0.87
70103,7.33,20.0,0.78,0.437
70104,4.78,21.95,0.8,0.31
70105,8.26,10.09,0.74,0.581
70109,9.55,10.25,1.4,0.496
70118,7.72,10.94,1.24,0.418
70123,8.31,18.93,1.4,0.628
70127,8.01,12.89,0.97,0.414
70132,7.64,10.28,0.85,0.343
70140,8.12,16.2,1.0,0.574
70142,8.9,23.65,1.14,0.877
70152,10.6,15.13,1.87,0.969
70157,10.31,16.92,2.11,0.945
70159,7.97,11.03,1.26,0.401
70163,8.15,15.37,1.07,0.725
70170,9.03,36.43,1.21,1.107
70178,10.03,14.06,1.7,0.809
70181,8.67,19.86,1.14,0.73
70193,8.59,16.85,1.08,0.592
70202,8.44,11.06,1.14,0.601
70216,8.81,10.62,1.21,0.466
70218,8.56,69.43,1.08,1.275
70219,9.23,14.14,1.48,0.794
70227,9.36,11.32,1.52,0.628
70235,8.13,20.43,1.27,0.59
70238,8.37,10.5,1.25,0.558
70239,7.35,17.19,0.75,0.455
70252,7.4,23.48,0.6,0.609
70253,8.22,24.37,0.71,0.647
70255,10.34,20.13,1.21,1.188
70257,7.97,10.19,1.08,0.44
70259,8.14,12.13,0.97,0.427
70269,6.82,22.81,1.89,0.584
70278,7.51,11.83,1.36,0.408
70279,9.73,13.01,1.38,0.627
70292,9.41,14.04,1.23,0.723
70304,10.09,13.34,1.12,0.875
70306,4.78,18.67,0.76,1.3
70308,10.25,42.29,1.47,1.429
70310,6.22,28.0,0.77,0.411
70317,9.86,28.23,1.66,1.137
70319,6.25,56.82,1.04,0.639
70324,9.33,12.96,1.3,0.64
70327,4.86,15.17,0.93,0.01
70330,7.76,17.28,0.99,0.658
70338,7.36,12.77,0.74,0.397
70341,8.81,15.41,1.04,0.68
70344,7.21,14.27,1.08,0.587
70351,9.16,10.99,1.16,0.687
70353,9.3,16.34,1.28,0.719
70354,9.33,14.42,0.97,0.64
70356,6.72,15.26,0.7,0.593
70359,8.31,12.07,0.71,0.48
70371,9.26,17.09,1.65,0.73
70382,7.32,12.73,1.04,1.028
70387,7.22,12.31,0.63,0.39
70386,6.76,27.9,2.0,0.575
70393,7.93,15.57,0.79,0.559
70394,9.56,12.55,1.22,0.635
70400,5.1,21.56,0.9,0.124
70424,9.07,15.01,1.64,0.679
70426,9.6,22.2,1.07,1.03
70434,8.26,12.48,1.23,0.556
70435,8.48,13.35,0.88,0.657
70452,6.49,11.13,1.04,0.417
70459,7.26,27.44,0.85,0.595
70467,9.65,10.11,1.25,0.621
70470,8.36,24.84,0.95,0.757
70472,10.71,30.13,2.0,1.257
70473,9.34,10.14,0.87,0.59
70474,7.33,11.41,0.62,0.46
70475,12.23,69.73,4.28,1.613
70487,10.75,16.04,1.66,1.119
70496,9.23,11.31,1.53,0.656
70497,4.04,68.63,0.56,0.497
70499,7.11,23.59,0.61,0.526
70500,8.47,31.0,1.0,0.853
70510,8.48,10.36,1.1,0.379
70512,9.56,16.09,1.55,0.926
70515,9.21,12.71,1.29,0.611
70520,7.27,21.32,0.83,0.581
70525,8.16,17.17,1.16,0.566
70529,9.77,59.54,1.73,1.419
70536,9.98,63.35,1.81,1.452
70538,6.48,12.99,1.09,0.941
70556,8.14,10.19,0.96,0.352
70557,8.06,29.28,0.94,0.75
70560,10.26,16.96,1.58,0.814
70561,8.24,10.74,1.33,0.859
70562,8.03,13.68,1.02,0.5
70564,8.88,11.11,1.24,0.659
70573,8.17,11.01,1.05,0.543
70576,4.33,10.38,0.72,0.434
70580,6.33,10.38,0.87,1.215
70588,8.6,11.62,1.22,0.558
70602,5.4,11.38,0.69,0.231
70608,8.86,22.29,1.46,0.84
70609,8.06,13.1,0.91,0.521
70610,9.68,27.57,1.09,1.016
70616,7.2,17.53,0.86,1.039
70618,7.22,16.27,0.54,0.454
70623,8.81,14.63,1.15,0.81
70627,9.48,12.0,1.43,0.653
70638,4.31,11.7,0.49,1.3
70648,7.86,14.91,0.9,0.488
70649,8.02,11.89,1.18,0.686
70653,9.59,10.81,1.45,0.703
70656,10.0,27.34,1.26,1.11
70663,5.83,17.16,0.83,0.311
70668,8.3,10.26,1.05,0.436
70674,7.97,13.68,0.7,0.587
70677,7.31,21.29,0.99,0.487
70680,6.18,13.83,0.83,0.093
70681,9.28,19.16,1.44,0.606
70685,6.64,13.07,0.63,0.369
70689,8.53,11.68,1.05,0.373
70693,6.89,10.78,1.06,0.571
70695,7.85,26.28,0.94,0.682
70705,9.91,17.29,1.58,1.007
70714,6.65,23.41,0.87,0.425
70715,10.93,22.67,2.38,1.238
70724,8.85,16.08,1.25,0.676
70745,9.97,11.74,1.48,0.858
70755,4.81,24.15,1.0,0.693
70756,9.8,29.76,1.55,1.125
70758,8.87,10.4,1.14,0.62
70760,7.43,15.6,0.97,0.71
70767,9.87,13.55,1.63,0.753
70768,7.91,14.81,1.33,0.506
70773,8.4,10.51,1.05,0.617
70776,7.82,12.39,1.12,0.516
70782,7.02,24.65,1.0,0.549
70791,5.58,10.59,0.61,0.864
70792,9.74,19.72,1.26,0.87
70799,9.38,11.37,1.32,0.619
70805,9.16,16.56,1.11,0.799
70823,8.58,11.97,0.92,0.3
70829,8.93,19.47,1.3,0.685
70831,8.57,21.45,1.61,0.644
70836,9.17,27.4,2.62,0.944
70839,7.1,17.69,0.91,0.511
70849,10.36,41.71,2.02,1.427
70853,8.35,15.51,1.0,0.604
70857,6.88,51.04,0.58,0.774
70861,7.56,13.52,1.39,0.47
70865,10.67,70.06,2.25,1.471
70868,7.84,14.79,1.1,0.626
70873,6.36,42.43,0.59,0.702
70886,9.08,12.49,1.33,0.59
70889,8.93,10.93,1.2,0.574
70890,11.01,772.33,2.42,1.807
70894,5.96,13.1,1.28,0.159
70897,9.43,10.2,1.45,0.582
70906,7.05,17.95,0.92,0.408
70922,8.21,17.71,1.03,0.527
70923,7.08,16.2,1.0,0.446
70924,10.15,31.38,4.57,1.185
70931,5.38,14.66,0.89,0.056
70950,8.68,45.46,1.03,1.031
70951,9.1,11.27,1.18,0.615
70952,6.1,31.51,0.5,0.428
70955,9.69,15.6,1.96,0.827
70956,9.4,60.53,1.57,1.403
70957,8.71,13.43,1.3,0.582
70973,7.68,26.04,1.04,0.775
70975,11.92,89.76,3.47,1.591
70982,8.25,10.98,0.65,0.397
70991,8.14,12.53,0.95,0.615
71000,8.67,11.02,0.92,0.584
71001,9.54,19.31,1.41,0.926
71002,5.84,11.88,0.68,1.006
71006,7.97,22.85,1.65,0.71
71017,9.34,10.28,1.51,0.618
71018,7.18,10.06,0.87,0.947
71019,8.88,11.42,1.32,0.768
71032,8.81,11.02,1.24,0.686
71034,7.56,18.52,1.04,0.519
71047,9.34,15.62,1.51,0.668
71050,8.21,22.86,1.02,0.637
71053,3.57,21.92,0.81,1.298
71054,7.46,10.25,0.7,0.392
71062,8.39,13.41,1.0,0.564
71076,7.81,16.95,1.04,0.509
71075,3.04,38.29,0.73,0.191
71077,7.51,10.08,0.99,0.292
71081,8.9,10.99,1.12,0.657
71094,6.0,14.03,0.92,0.23
71103,8.53,14.48,1.21,0.569
71104,8.19,13.25,0.83,0.544
71108,10.65,24.95,3.58,1.21
71115,5.91,19.44,0.77,0.391
71117,9.32,14.39,0.93,0.75
71122,10.7,18.97,1.97,1.195
71132,7.03,10.13,0.93,0.485
71135,10.53,27.68,1.83,1.27
71141,7.4,14.78,1.14,0.447
71142,7.43,11.33,1.12,0.916
71147,9.65,12.5,1.13,0.623
71162,8.75,14.03,1.41,0.632
71165,9.74,22.79,1.12,1.055
71168,6.39,13.67,0.83,0.521
71177,7.7,17.28,1.01,0.544
71181,7.24,74.5,0.69,0.997
71184,5.86,11.42,0.68,0.482
71188,10.54,25.74,1.97,1.26
71190,8.83,30.35,1.31,0.923
71192,6.6,33.92,0.63,0.504
71193,7.61,25.4,1.45,0.752
71201,8.35,11.59,1.09,0.523
71206,6.75,12.9,0.73,0.16
71218,9.14,16.21,1.35,0.724
71232,9.41,13.79,1.65,0.635
71243,6.32,23.72,0.77,0.45
71247,10.78,21.9,2.09,1.095
71248,8.55,14.5,0.77,0.609
71251,6.46,34.46,0.54,0.526
71252,9.33,12.83,1.52,0.753
71253,11.32,163.51,2.77,1.633
71262,9.37,13.3,1.38,0.673
71270,8.71,13.09,1.49,0.523
71276,9.93,19.11,2.55,1.01
71284,4.47,64.66,0.72,0.364
71289,7.32,11.93,1.14,0.491
71291,8.95,16.03,1.03,0.58
71293,8.34,11.82,1.31,0.579
71296,8.76,13.78,1.28,0.802
71311,9.54,49.11,1.27,1.283
71316,7.21,10.85,0.88,0.192
71322,8.41,14.76,1.11,0.652
71336,9.14,10.07,1.03,0.599
71340,9.55,18.98,1.61,0.88
71343,8.0,12.4,0.97,0.509
71347,7.73,14.22,0.97,0.461
71351,9.09,11.07,1.26,0.563
71352,2.33,10.57,0.83,-0.157
71358,9.29,10.59,1.49,0.724
71360,7.65,13.63,1.74,0.455
71366,9.48,10.15,1.22,0.673
71368,8.09,12.82,1.13,0.504
71369,7.95,13.84,1.66,0.576
71387,7.97,11.67,0.96,0.475
71391,9.45,12.1,1.3,0.645
71395,7.48,60.35,0.99,0.973
71407,7.22,13.43,1.37,0.368
71409,8.86,10.64,0.95,0.509
71423,9.09,12.62,1.25,0.631
71425,8.32,15.92,0.74,0.568
71431,8.19,10.53,0.83,0.594
71440,8.07,19.31,0.71,0.674
71462,7.79,19.12,1.43,0.755
71466,6.59,16.94,0.59,0.505
71469,6.2,29.97,0.95,0.464
71470,8.87,10.13,1.13,0.541
71481,8.29,38.52,1.1,0.685
71491,8.55,11.36,0.89,0.502
71510,6.45,11.16,1.04,0.56
71515,8.73,24.14,1.08,0.95
71516,9.19,17.5,1.63,0.721
71526,8.55,12.34,1.2,0.72
71527,8.97,21.05,1.72,0.729
71530,6.03,35.5,0.66,0.506
71536,4.05,10.51,0.71,-0.152
71541,8.38,12.67,0.75,0.49
71548,6.95,11.67,1.36,0.468
71552,8.24,11.37,1.03,0.456
71559,7.48,16.82,0.98,0.651
71566,8.78,10.6,1.19,0.715
71572,8.26,20.29,1.3,0.707
71588,8.07,16.16,0.96,0.5
71602,7.44,15.21,0.62,0.453
71601,8.94,10.63,0.9,0.545
71618,5.39,16.56,0.55,0.03
71619,8.89,19.24,1.61,0.77
71625,7.43,19.57,0.86,0.463
71629,6.53,15.93,0.71,0.512
71631,7.6,29.46,0.61,0.626
71635,9.17,10.46,1.33,0.581
71637,9.74,12.5,1.84,0.744
71639,6.06,27.76,0.76,0.508
71640,8.9,13.99,1.4,0.652
71654,8.42,12.15,1.16,0.529
71658,6.37,17.91,0.72,0.44
71657,8.54,12.25,1.1,0.452
71664,9.09,12.44,1.52,0.704
71673,10.21,16.33,1.62,0.763
71681,1.35,742.12,1.4,0.9
71679,7.38,18.87,0.65,0.602
71683,-0.01,742.12,1.4,0.71
71682,6.99,25.06,0.92,0.466
71684,9.12,11.98,1.38,0.571
71685,9.37,10.98,1.43,0.637
71686,9.79,25.11,2.43,1.081
71693,8.27,13.6,1.44,0.478
71697,7.13,11.11,0.95,0.943
71711,8.51,15.36,1.09,0.6
71718,7.88,19.8,0.66,0.511
71719,8.12,13.83,1.17,0.568
71720,9.24,25.1,1.59,0.833
71723,7.86,10.02,1.1,0.0
71726,7.7,17.98,0.87,0.637
71734,7.82,14.58,1.22,0.462
71735,7.39,36.43,0.96,0.672
71737,7.98,19.82,1.04,0.62
71741,8.89,15.6,0.83,0.719
71743,7.24,42.43,0.97,0.71
71748,11.74,18.23,2.71,1.184
71755,7.82,17.41,0.84,0.528
71759,5.93,18.83,0.85,0.238
71762,4.49,10.28,0.91,-0.002
71774,7.45,14.99,0.94,0.591
71776,9.15,11.57,1.27,0.612
71777,7.42,15.16,0.71,0.437
71778,7.87,11.95,1.05,0.961
71782,7.03,18.88,0.91,0.844
71785,8.38,16.94,1.04,0.564
71788,9.37,18.22,1.59,0.95
71795,3.78,18.07,1.24,0.044
71796,10.44,17.33,2.0,0.954
71803,8.19,18.46,1.41,0.682
71805,9.0,14.04,1.17,0.625
71809,8.29,14.88,1.09,0.521
71810,8.5,10.63,1.06,0.49
71813,7.81,21.22,1.02,0.642
71814,9.84,17.43,1.53,0.797
71818,9.02,11.41,1.64,0.566
71819,8.37,14.04,1.19,0.603
71823,8.69,11.79,1.23,0.537
71824,12.03,34.89,3.84,1.494
71825,8.21,11.05,1.1,0.7
71834,8.04,15.4,1.09,0.521
71843,7.66,16.9,0.86,0.493
71846,9.17,11.09,1.19,0.715
71848,8.44,12.39,0.95,0.55
71850,8.25,12.49,1.08,0.496
71855,6.73,49.15,0.64,0.707
71858,9.59,10.39,1.44,0.558
71859,8.14,11.66,1.18,0.487
71861,6.21,22.58,0.74,0.454
71865,4.01,10.69,0.72,-0.157
71872,7.55,14.69,0.64,0.4
71876,6.24,23.47,0.57,0.409
71886,8.94,11.53,1.47,0.383
71887,8.79,13.43,1.07,0.461
71890,6.63,15.88,1.07,0.912
71898,10.88,101.34,12.77,1.615
71899,7.47,21.91,0.85,0.533
71902,9.53,10.31,1.3,0.617
71904,10.08,38.62,2.01,1.34
71908,3.18,60.97,0.58,0.256
71914,9.1,44.54,2.57,1.29
71930,9.12,11.49,1.23,0.602
71929,8.45,17.95,1.0,0.63
71931,6.59,14.73,0.96,0.366
71932,8.85,15.06,1.28,0.657
71933,8.48,11.97,1.23,0.606
71938,8.9,13.33,1.39,0.718
71939,8.81,14.31,1.49,0.477
71943,7.79,15.95,0.98,0.664
71957,3.87,53.54,0.95,0.385
71970,8.16,10.1,0.97,0.461
71981,9.67,14.36,2.01,0.733
71984,9.11,10.26,1.25,0.581
71989,8.22,20.79,0.7,0.659
71999,7.73,10.55,1.29,0.51
72010,4.06,15.89,0.71,1.356
72014,9.1,14.42,1.61,0.62
72017,8.75,12.85,1.36,0.594
72020,8.73,13.26,1.77,0.509
72029,6.87,11.19,0.82,0.409
72030,8.73,11.64,1.27,0.616
72041,8.68,10.79,1.07,0.607
72042,8.6,10.29,1.18,0.598
72043,7.52,23.87,0.85,0.636
72044,9.89,37.91,1.47,1.25
72045,9.11,13.44,1.25,0.73
72047,6.64,24.18,1.38,0.431
72048,6.99,28.2,0.68,0.553
72053,8.39,16.48,1.32,0.6
72058,9.05,14.58,1.79,0.762
72060,7.65,11.11,1.13,0.368
72061,8.32,10.7,0.68,0.631
72066,6.73,15.6,0.57,0.292
72069,7.58,13.96,0.98,0.408
72076,8.84,16.26,1.5,0.674
72077,8.71,11.4,0.77,0.628
72082,6.86,14.11,1.03,0.427
72095,8.49,10.75,0.98,0.561
72104,4.92,15.76,0.74,0.013
72105,2.35,15.55,0.78,0.966
72110,9.02,10.44,1.02,0.598
72119,8.4,34.98,1.16,0.936
72120,8.98,10.24,1.47,0.63
72125,4.6,14.48,0.79,0.972
72126,8.92,12.67,1.39,0.576
72130,7.22,20.7,0.56,0.495
72131,5.36,21.75,0.61,0.308
72134,8.22,17.48,1.07,0.563
72138,7.99,18.83,1.18,0.576
72145,10.33,17.4,1.78,1.079
72146,7.87,51.2,0.98,0.931
72151,10.18,11.96,1.18,0.753
72153,7.32,11.81,1.26,0.465
72155,8.37,16.01,1.04,0.609
72176,8.65,10.18,1.18,0.473
72177,8.48,12.81,1.12,0.69
72182,8.72,13.29,1.08,0.575
72190,7.52,17.87,0.97,0.612
72197,5.15,32.86,0.92,0.315
72200,7.98,37.93,1.1,0.87
72203,8.8,14.79,1.13,0.756
72217,6.43,23.64,1.07,0.603
72220,3.73,25.35,0.87,-0.005
72221,7.26,23.15,1.84,0.624
72223,7.38,25.5,0.98,0.562
72235,8.3,23.44,1.84,0.71
72236,8.67,14.67,1.26,0.71
72237,9.23,56.87,1.29,1.261
72247,7.34,12.16,0.9,0.434
72248,9.35,13.89,1.45,0.734
72249,8.03,10.94,1.02,0.542
72253,7.78,15.87,0.62,0.533
72263,8.76,10.2,0.92,0.765
72267,10.15,16.21,1.87,0.811
72275,9.52,13.68,2.05,0.838
72287,12.0,30.11,3.9,2.4
72290,5.22,12.58,0.66,0.984
72293,7.32,10.22,0.57,0.265
72309,8.41,12.27,1.13,0.558
72312,7.76,50.84,1.04,0.893
72315,9.71,21.04,1.51,0.901
72322,8.11,15.84,1.06,0.918
72325,7.88,11.82,0.72,0.602
72328,8.41,12.48,1.03,0.54
72336,7.46,20.56,0.81,0.509
72339,8.04,33.6,1.51,0.781
72353,7.55,19.67,0.99,0.541
72358,7.86,14.09,0.7,0.415
72365,9.18,13.15,1.07,0.812
72369,7.55,12.25,0.81,0.412
72380,8.5,17.46,1.65,0.679
72387,9.73,41.26,1.47,1.308
72389,10.04,10.01,1.1,0.787
72398,7.66,12.22,1.01,0.49
72407,9.74,10.49,0.93,0.63
72408,7.89,12.54,0.83,0.412
72412,6.15,12.36,1.13,0.506
72415,8.25,10.83,1.06,0.544
72420,7.03,19.35,0.89,0.491
72423,6.87,19.56,1.5,0.621
72447,6.83,17.23,1.78,0.458
72455,7.13,12.79,0.93,0.521
72456,8.65,12.63,1.2,0.602
72458,8.46,15.72,0.98,0.682
72461,9.73,10.28,1.42,0.437
72463,10.52,19.55,2.31,1.447
72469,6.15,24.39,0.66,0.389
72470,10.64,21.81,1.45,1.552
72471,6.21,10.45,0.81,1.107
72479,8.42,24.21,1.29,0.866
72486,8.11,18.33,1.14,0.57
72487,5.76,21.34,0.55,0.482
72489,5.32,13.86,1.3,0.066
72493,7.26,41.69,1.24,0.836
72507,8.52,20.07,1.15,0.648
72508,6.49,19.41,0.67,0.401
72511,11.72,235.24,22.43,1.48
72513,7.53,13.3,0.67,0.532
72522,9.76,10.47,1.52,0.777
72524,5.68,14.22,0.87,0.501
72528,7.12,19.86,0.78,0.455
72530,8.66,16.11,0.74,0.707
72531,7.65,13.26,1.09,0.518
72540,8.51,10.92,0.7,0.486
72545,8.29,11.96,0.65,0.533
72552,5.8,11.06,0.65,0.046
72553,7.98,11.45,1.01,0.432
72555,8.28,12.49,1.08,0.589
72559,7.85,15.52,1.02,0.495
72562,8.94,10.9,1.11,0.721
72563,7.14,18.31,0.57,0.542
72567,5.86,55.73,0.8,0.576
72571,4.42,10.68,0.83,1.366
72573,5.63,23.08,0.5,0.671
72577,9.08,32.53,1.56,0.957
72582,5.47,16.31,0.61,1.03
72600,7.46,22.09,1.1,0.507
72604,7.5,26.79,0.88,0.643
72603,5.15,42.26,1.04,0.401
72606,8.19,11.18,1.01,0.47
72607,2.07,25.79,0.52,1.465
72611,9.14,12.07,1.42,0.64
72618,7.86,10.33,1.31,0.986
72622,2.75,42.25,1.05,0.147
72631,4.93,15.09,1.09,0.988
72634,7.4,36.73,1.26,0.76
72656,8.68,10.99,1.16,0.503
72659,4.54,149.26,0.76,0.72
72663,8.47,21.93,1.73,0.666
72666,7.7,17.45,1.62,0.634
72669,9.01,12.65,0.79,0.607
72672,8.0,11.96,0.99,0.447
72673,7.16,20.94,0.88,0.452
72675,9.52,13.23,1.96,0.63
72677,6.55,17.94,0.94,0.483
72681,8.39,21.83,1.83,1.3
72682,7.84,16.46,0.8,0.456
72688,7.81,58.96,1.05,1.036
72703,8.36,25.68,1.29,0.654
72706,7.6,11.82,0.93,1.031
72726,10.85,21.76,1.5,1.592
72738,7.2,11.44,0.88,0.546
72742,8.7,29.13,1.48,0.913
72749,7.63,13.72,0.98,0.669
72753,10.27,22.72,1.48,1.447
72754,8.19,10.08,1.2,0.543
72764,8.28,19.46,1.56,0.613
72766,8.72,15.24,1.35,0.63
72772,6.3,24.99,0.8,0.605
72779,7.89,17.72,1.02,0.707
72797,9.33,17.81,1.64,0.84
72798,8.41,11.95,1.08,0.564
72799,8.87,11.5,1.44,0.57
72803,8.42,10.32,0.76,0.769
72804,7.7,10.79,1.17,0.48
72807,6.87,13.62,0.74,0.432
72808,7.83,12.89,0.98,0.519
72809,8.95,12.66,0.95,0.731
72811,8.03,10.5,1.36,0.551
72814,7.03,10.08,0.92,0.172
72819,6.52,14.19,0.76,1.2
72821,8.15,21.63,1.45,0.699
72830,7.96,13.97,0.88,0.896
72833,5.59,10.19,0.69,0.82
72835,7.79,17.87,0.75,0.465
72846,6.41,20.4,1.43,0.569
72848,6.0,86.69,0.81,0.841
72875,8.65,43.66,1.2,0.934
72888,7.36,14.71,1.1,0.913
72911,10.74,17.32,1.28,1.081
72921,6.98,23.05,2.02,0.58
72939,7.91,11.53,0.79,0.44
72940,7.04,10.63,1.25,0.093
72944,10.11,101.91,1.67,1.5
72945,8.41,10.16,1.42,0.549
72953,6.84,10.72,0.81,0.43
72957,8.03,13.48,1.2,0.491
72978,8.19,11.53,1.18,0.699
72981,11.28,44.46,2.6,1.377
72986,7.15,22.23,0.93,0.506
72998,9.51,20.29,1.51,0.716
73001,9.22,10.02,1.32,0.495
73005,7.77,41.83,0.63,0.785
73012,8.4,18.9,1.24,0.633
73018,8.66,15.76,1.05,0.563
73036,5.18,18.87,0.8,1.161
73039,7.82,15.94,0.64,0.974
73049,5.32,13.2,0.81,0.046
73052,7.79,15.79,0.83,0.495
73056,11.29,27.8,2.62,1.414
73061,8.37,11.01,1.11,0.783
73065,7.66,14.8,0.84,1.06
73066,9.0,35.39,1.26,1.005
73068,6.12,10.41,0.72,0.109
73075,8.75,17.89,0.94,0.676
73078,7.91,14.78,0.86,0.807
73080,8.05,11.05,1.02,0.544
73091,7.71,13.42,0.98,0.409
73094,9.87,18.53,2.22,0.913
73095,5.38,15.08,0.72,0.142
73096,7.69,14.07,0.94,0.496
73100,5.63,40.25,0.54,0.533
73106,7.78,12.86,1.06,0.596
73108,7.34,16.24,1.35,0.534
73114,8.58,14.29,1.21,0.655
73121,9.41,23.4,1.52,1.035
73123,8.01,10.85,1.21,0.364
73128,8.11,16.98,1.05,0.636
73132,9.03,12.89,1.35,0.625
73135,8.31,16.57,2.05,0.601
73138,8.64,26.05,1.67,0.816
73139,8.2,24.71,1.04,0.747
73146,8.45,14.09,0.77,0.65
73159,7.44,12.65,0.93,0.403
73160,7.36,11.25,0.75,0.398
