HIP,Vmag,Plx,e_Plx,B-V
2137,10.3,16.04,1.27,0.967
2141,9.37,10.41,1.37,0.587
2143,8.09,18.36,2.75,0.73
2174,7.56,16.49,1.14,0.585
2177,7.73,13.47,0.89,0.401
2190,7.2,13.54,1.1,0.498
2194,9.02,21.72,1.37,0.745
2204,7.78,10.86,0.91,0.453
2225,5.18,12.32,0.75,0.043
2230,8.92,12.57,1.05,0.609
2231,7.81,10.51,1.04,0.601
2235,6.05,27.51,0.86,0.447
2237,6.44,31.01,0.87,0.594
2239,7.1,17.88,0.9,0.5
2246,6.86,15.86,0.89,0.535
2247,9.62,26.64,1.4,1.128
2273,9.25,15.85,1.35,0.864
2282,8.46,20.6,1.06,0.748
2288,9.07,10.93,1.55,0.68
2292,7.78,17.88,0.97,0.649
2293,11.37,17.58,1.75,1.153
2305,7.95,17.2,0.89,0.691
2311,9.34,22.77,1.5,0.84
2318,8.82,15.28,1.18,0.602
2319,7.62,13.2,0.93,0.465
2326,7.9,14.45,1.11,0.494
2336,7.47,11.67,0.96,0.544
2337,6.15,23.62,0.87,0.388
2343,7.46,14.05,0.9,0.353
2350,9.44,18.62,1.35,0.886
2352,8.41,13.12,0.85,0.618
2355,5.2,17.62,0.86,0.271
2358,6.52,14.87,0.9,0.453
2364,10.1,25.04,1.9,1.08
2368,8.51,11.77,1.2,0.613
2373,10.68,20.15,1.85,1.066
2381,5.17,18.08,0.9,0.128
2383,5.67,22.19,0.67,0.367
2386,8.15,12.28,1.07,0.488
2397,9.22,29.34,1.18,0.93
2412,10.69,14.69,1.82,0.9
2414,7.74,20.91,1.05,0.652
2416,9.07,17.5,1.23,0.734
2417,9.09,14.06,1.33,0.617
2422,6.18,25.37,0.54,0.883
2426,10.63,36.36,1.45,1.359
2434,8.51,10.69,1.08,0.553
2444,8.46,11.69,1.57,0.636
2452,9.27,16.21,1.36,0.804
2453,7.37,23.95,0.66,0.504
2472,4.76,18.97,0.64,0.018
2479,7.18,13.44,0.83,0.275
2482,8.1,15.9,1.03,0.528
2483,8.15,15.36,1.58,0.653
2484,4.36,23.35,0.52,-0.064
2495,9.0,11.3,1.26,0.569
2498,7.25,12.27,0.88,0.906
2504,9.64,13.68,1.38,0.817
2511,9.6,15.71,1.45,0.759
2512,7.22,10.47,0.81,0.535
2532,8.27,13.78,1.06,0.58
2533,8.54,21.4,1.86,0.84
2540,9.65,38.85,1.1,1.367
2542,8.69,10.38,1.08,0.537
2543,7.1,11.36,1.01,0.377
2544,7.32,13.81,1.01,0.391
2548,5.69,12.36,0.8,-0.014
2552,10.27,98.74,3.37,1.52
2556,9.36,19.65,1.47,0.928
2563,8.66,17.8,1.36,0.65
2568,5.38,12.69,0.72,1.069
2574,8.9,10.45,1.31,0.735
2578,5.07,21.52,0.49,0.038
2580,8.51,10.6,1.04,0.623
2586,8.76,13.63,1.27,0.666
2597,7.58,11.3,0.8,0.384
2601,9.44,11.64,1.33,0.76
2604,10.94,29.26,2.16,1.311
2621,8.14,12.44,0.92,0.509
2626,7.81,12.29,0.97,0.521
2639,10.02,17.86,1.63,1.062
2643,7.76,16.68,1.62,0.556
2645,7.27,13.56,0.92,0.609
2659,8.4,11.07,1.06,0.446
2663,6.41,27.63,1.06,0.617
2666,8.06,11.52,0.86,0.487
2678,8.58,10.67,1.11,0.512
2696,7.9,10.9,0.91,0.408
2698,8.55,12.82,1.07,0.57
2699,8.53,10.64,1.04,0.415
2710,6.9,24.09,0.88,0.481
2711,5.57,39.03,0.62,0.472
2712,7.38,21.2,0.87,0.549
2716,7.67,19.32,1.15,0.503
2717,8.07,16.11,0.92,0.517
2724,8.18,16.31,0.96,0.504
2725,9.48,26.98,1.61,1.0
2729,9.56,21.78,1.01,1.05
2736,8.97,22.17,1.24,0.827
2741,9.02,10.31,1.32,0.44
2742,8.02,34.52,1.04,0.87
2743,8.55,34.04,0.86,0.854
2747,8.76,18.13,1.01,0.602
2751,8.38,14.68,1.11,0.529
2759,8.99,13.22,1.2,0.703
2760,7.37,22.87,1.0,0.602
2761,9.57,10.45,1.14,0.822
2762,5.2,47.51,1.15,0.567
2765,8.02,12.58,1.11,0.46
2766,8.62,11.34,1.07,0.587
2786,9.5,19.69,1.42,0.831
2787,5.94,17.97,0.74,0.444
2789,6.04,12.88,0.65,1.001
2790,7.45,34.3,0.89,0.726
2797,9.31,20.78,0.93,0.78
2802,5.51,27.61,0.77,0.461
2805,8.52,13.43,1.26,0.575
2815,7.32,10.47,0.82,0.435
2824,8.37,21.23,1.17,0.648
2828,11.26,23.82,2.4,1.31
2829,8.43,12.99,1.01,0.505
2832,6.32,26.59,0.85,0.517
2839,11.21,28.51,2.39,1.392
2841,6.91,16.71,0.63,0.368
2843,6.72,21.19,0.92,0.466
2844,7.96,18.93,1.7,0.672
2847,7.77,19.45,0.96,0.563
2848,8.4,23.21,1.15,0.78
2852,6.06,20.12,0.91,0.297
2853,7.88,14.56,1.06,0.447
2864,8.83,12.35,1.15,0.551
2873,7.85,11.95,0.95,0.817
2874,9.51,11.73,1.47,0.595
2878,8.39,10.25,0.92,0.469
2883,10.11,16.64,1.46,0.94
2885,8.56,12.33,1.13,0.476
2888,6.79,22.79,0.73,0.639
2894,8.64,18.03,1.23,0.648
2902,7.94,13.78,1.06,0.824
2909,8.17,15.34,1.1,0.636
2927,8.1,16.59,0.89,0.605
2941,5.57,64.38,1.4,0.715
2944,6.99,22.29,0.84,0.723
2979,9.39,13.01,1.37,0.605
2981,7.53,20.92,0.97,0.463
3000,9.48,14.78,1.55,0.701
3006,7.11,24.8,0.6,0.554
3008,10.48,43.4,1.94,1.424
3010,7.43,16.35,0.66,0.482
3020,7.41,12.46,0.77,0.496
3022,9.96,19.86,1.86,0.792
3028,9.21,24.02,1.22,0.846
3031,4.34,19.34,0.76,0.871
3033,8.77,14.61,1.04,0.59
3035,7.11,16.01,0.94,0.423
3053,7.74,26.42,0.61,0.754
3054,9.04,16.48,1.19,0.63
3055,8.76,12.73,1.18,0.7
3062,11.0,17.84,2.32,1.13
3072,9.72,11.72,1.47,0.679
3084,6.81,12.5,0.66,0.471
3086,7.34,21.79,0.88,0.633
3092,3.27,32.19,0.68,1.268
3093,5.88,90.03,0.72,0.85
3097,9.22,15.82,0.96,0.68
3101,8.83,14.72,1.07,0.59
3115,7.88,13.27,1.09,0.518
3119,7.43,20.14,0.91,0.538
3121,10.5,30.52,1.79,1.143
3122,6.83,13.82,0.79,0.432
3125,10.22,24.73,1.63,1.278
3132,6.38,30.95,0.5,0.551
3137,6.0,10.75,0.71,1.142
3142,6.68,24.12,0.82,0.519
3143,11.41,43.64,2.59,1.476
3148,8.76,13.44,1.16,0.584
3164,8.16,16.01,0.93,0.521
3169,7.43,17.02,0.95,0.571
3170,5.89,39.26,0.56,0.564
3174,8.24,14.62,0.97,0.677
3179,2.24,14.27,0.57,1.17
3181,8.8,19.11,1.13,0.71
3182,8.68,17.32,1.19,0.638
3185,6.14,35.02,0.74,0.718
3195,8.78,23.09,1.37,0.747
3203,7.02,38.65,1.1,0.62
3204,8.36,11.81,0.99,0.531
3206,7.36,57.9,0.98,0.937
3210,7.37,21.91,0.82,0.539
3214,7.6,17.45,0.88,0.458
3232,9.92,20.28,1.77,0.93
3236,6.52,29.99,0.83,0.528
3238,9.36,13.75,0.93,0.64
3243,10.84,22.95,3.02,1.27
3245,4.59,13.19,0.67,0.953
3249,10.67,30.07,4.42,1.176
3254,9.97,13.82,1.13,0.709
3261,10.58,50.29,1.93,1.432
3267,6.95,20.99,0.66,0.579
3272,7.84,16.94,0.94,0.528
